,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg
201,/players/b/brownde03.html,Dee Brown,2007,2009,G,Illinois,6-0,185,"August 17, 1984",0.8,.250,0.2,.384,.340,0.7,2.2,.643,0.4,0.6,68,2.1,6.1,.360,2.2,,11.0,.422,4.7,.725,2.4,1.7,137,13.2
202,/players/b/brownde04.html,Derrick Brown,2010,2012,F,Xavier,6-7,225,"September 8, 1987",0.2,.317,0.1,.525,.515,2.1,4.0,.637,1.0,1.6,171,5.2,1.2,.415,0.5,,6.5,.573,3.7,.718,3.3,2.4,106,10.3
203,/players/b/brownde02.html,Devin Brown,2003,2010,G,Texas-San Antonio,6-5,220,"December 30, 1978",1.9,.338,0.6,.452,.401,2.5,6.3,.776,1.5,2.0,465,7.2,5.2,.309,1.6,,14.7,.411,6.1,.733,6.2,4.6,105,18.3
204,/players/b/browngr01.html,Greg Brown III,2022,2022,F,Texas,6-9,205,"September 1, 2001",1.1,.320,0.4,.476,.428,1.6,3.8,.656,0.9,1.4,44,4.5,3.5,.330,1.2,,7.4,.420,3.1,.708,2.8,2.0,26,9.3
205,/players/b/brownja01.html,Jabari Brown,2015,2015,G,"Oregon, Missouri",6-4,215,"December 18, 1992",3.3,.371,1.2,.479,.412,3.7,8.9,.753,3.4,4.5,19,11.9,5.7,.386,2.2,,11.2,.441,5.0,.782,6.2,4.9,62,17.0
206,/players/b/brownja02.html,Jaylen Brown,2017,2022,F-G,California,6-6,223,"October 24, 1996",4.8,.374,1.8,.542,.473,6.1,12.9,.714,2.4,3.4,400,16.4,3.0,.294,0.9,,11.1,.431,4.8,.654,6.4,4.2,34,14.6
207,/players/b/brownlo01.html,Lorenzo Brown,2014,2019,G,NC State,6-5,189,"August 26, 1990",1.0,.170,0.2,.391,.364,1.2,3.3,.707,0.3,0.4,103,2.8,2.1,.305,0.6,,9.5,.429,4.1,.741,3.8,2.8,101,11.6
208,/players/b/brownma02.html,Markel Brown,2015,2018,G,Oklahoma State,6-3,190,"January 29, 1992",1.7,.295,0.5,.432,.380,1.8,4.8,.781,1.0,1.3,113,5.2,3.1,.347,1.1,,9.4,.439,4.1,.733,4.1,3.0,134,12.4
209,/players/b/brownmo01.html,Moses Brown,2020,2022,C,UCLA,7-2,245,"October 13, 1999",0.0,,0.0,.550,.550,2.3,4.2,.604,1.4,2.3,89,6.0,0.0,,0.0,,6.8,.607,4.2,.352,4.0,1.4,32,9.7
210,/players/b/brownsh01.html,Shannon Brown,2007,2015,G,Michigan State,6-4,205,"November 29, 1985",2.0,.332,0.7,.468,.420,2.9,7.0,.807,1.1,1.4,408,7.6,3.1,.364,1.1,,9.4,.457,4.3,.831,3.0,2.5,97,12.2
