,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM,height,weight
116,Bryce McGowens,FR,G,Nebraska,31,1032,161,43,22,10,65,62,522,.403,.478,.274,.831,16.8,5.2,1.4,0.7,0.3,16.9,2.2,1.3,6-7,179
118,Chris McGraw,SO,G,Nebraska,6,8,0,1,0,0,0,0,0,,,,,0.0,0.0,0.2,0.0,0.0,4.8,0.0,-2.6,6-0,170
119,RJ Melendez,FR,G,Illinois,22,187,37,15,6,3,10,12,84,.569,.556,.600,.850,3.8,1.7,0.7,0.3,0.1,24.2,1.0,11.5,6-7,205
120,Jalen Miller,FR,G,Rutgers,24,184,14,8,7,2,8,29,15,.353,.375,.000,.750,0.6,0.6,0.3,0.3,0.1,2.5,0.1,-2.8,6-2,200
121,Ethan Morton,SO,G,Purdue,37,548,53,50,22,8,17,28,90,.477,.516,.441,.684,2.4,1.4,1.4,0.6,0.2,11.9,1.5,5.8,6-6,215
123,Riley Mulvey,FR,C,Iowa,17,83,15,2,0,5,4,12,16,.500,.600,.000,1.000,0.9,0.9,0.1,0.0,0.3,9.1,0.2,-2.7,6-11,245
124,Keegan Murray,SO,F,Iowa,35,1116,303,52,45,68,39,65,822,.554,.621,.398,.747,23.5,8.7,1.5,1.3,1.9,37.8,8.7,15.7,6-8,215
125,Kris Murray,SO,F,Iowa,35,628,149,37,29,31,27,87,340,.479,.547,.387,.645,9.7,4.3,1.1,0.8,0.9,26.1,3.4,9.1,6-8,215
129,Brandon Newman,SO,G,Purdue,25,315,47,16,10,5,14,33,116,.321,.320,.321,.792,4.6,1.9,0.6,0.4,0.2,11.8,0.8,-0.1,6-5,195
130,Matthew Nicholson,SO,C,Northwestern,15,66,20,5,1,3,5,14,27,.692,.692,,.529,1.8,1.3,0.3,0.1,0.2,20.4,0.3,0.2,7-0,255
133,Josh Ogundele,SO,F,Iowa,19,98,24,0,4,5,9,19,29,.542,.542,,.300,1.5,1.3,0.0,0.2,0.3,10.4,0.1,-3.3,6-10,285
134,Clifford Omoruyi,SO,C,Rutgers,32,919,250,12,17,40,41,70,382,.624,.635,.167,.602,11.9,7.8,0.4,0.5,1.3,22.6,3.9,4.5,6-11,240
135,Irekefe Oweh,SO,G,Penn State,2,3,0,0,1,0,1,1,0,.000,.000,,,0.0,0.0,0.0,0.5,0.0,-39.5,-0.1,-42.8,6-2,188
136,Oskar Palmquist,SO,F,Rutgers,15,90,10,6,2,0,3,11,22,.412,.333,.455,.500,1.5,0.7,0.4,0.1,0.0,11.0,0.2,0.6,6-8,220
138,Tony Perkins,SO,G,Iowa,36,657,88,59,32,3,33,62,267,.446,.485,.321,.800,7.4,2.4,1.6,0.9,0.1,17.6,2.3,3.9,6-4,210
143,Brandin Podziemski,FR,G,Illinois,16,69,15,5,1,0,4,7,22,.421,.833,.231,.750,1.4,0.9,0.3,0.1,0.0,12.1,0.2,0.1,6-5,200
144,Will Ramberg,SO,G,Minnesota,13,48,4,1,1,0,2,2,5,.400,.500,.000,.333,0.4,0.3,0.1,0.1,0.0,3.2,0.0,-3.9,6-5,195
146,Julian Reese,FR,F,Maryland,32,565,142,13,14,23,39,84,182,.456,.484,.304,.804,5.7,4.4,0.4,0.4,0.7,15.8,1.4,0.2,6-9,230
147,Dean Reiber,SO,F,Rutgers,28,211,36,12,8,11,15,32,82,.531,.519,.583,.583,2.9,1.3,0.4,0.3,0.4,18.0,0.6,3.9,6-10,225
148,Arnaud Revaz,SO,F,Maryland,2,3,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1,6-10,220
149,Julian Roper II,FR,G,Northwestern,29,586,99,28,25,14,13,50,116,.342,.333,.353,.714,4.0,3.4,1.0,0.9,0.5,11.4,1.4,2.2,6-3,180
152,Payton Sandfort,FR,G,Iowa,34,357,65,22,5,4,16,29,171,.418,.509,.366,.938,5.0,1.9,0.6,0.1,0.1,18.8,1.4,3.5,6-7,215
155,Jevonnie Scott,,F,Penn State,11,70,18,2,2,3,7,17,15,.400,.462,.000,.375,1.4,1.6,0.2,0.2,0.3,3.6,0.0,-6.3,6-7,252
156,Connor Serven,SO,F,Illinois,6,12,1,0,0,0,0,0,0,.000,,.000,,0.0,0.2,0.0,0.0,0.0,-2.5,0.0,-6.4,6-9,215
158,Casey Simmons,FR,G,Northwestern,27,312,41,13,12,2,16,30,68,.413,.468,.250,.545,2.5,1.5,0.5,0.4,0.1,8.4,0.4,-1.7,6-6,180
159,Mady Sissoko,SO,C,Michigan State,30,134,30,1,1,13,8,33,33,.632,.632,,.429,1.1,1.0,0.0,0.0,0.4,10.9,0.3,-1.5,6-9,235
160,Davis Smith,SO,G,Michigan State,12,20,1,1,0,0,1,2,0,.000,.000,.000,.000,0.0,0.1,0.1,0.0,0.0,-7.8,-0.1,-9.2,6-1,185
167,Justin Taphorn,SO,G,Wisconsin,4,5,0,0,0,0,1,0,0,,,,,0.0,0.0,0.0,0.0,0.0,-12.7,0.0,-14.1,6-5,198
168,Aiden Terry,SO,G,Rutgers,3,5,4,1,0,0,3,1,0,,,,,0.0,1.3,0.3,0.0,0.0,-20.4,-0.1,-28.2,5-11,150
169,Abdoulaye Thiam,FR,G,Minnesota,15,49,4,2,2,0,5,8,12,.250,.400,.000,1.000,0.8,0.3,0.1,0.1,0.0,-1.3,-0.1,-12.1,6-3,180
172,Treyton Thompson,FR,C,Minnesota,19,152,22,5,3,6,8,24,37,.467,.533,.400,.600,1.9,1.2,0.3,0.2,0.3,10.7,0.3,-1.2,6-11,190
173,Keisei Tominaga,SO,G,Nebraska,30,494,45,18,23,1,10,20,170,.373,.469,.330,.842,5.7,1.5,0.6,0.8,0.0,13.2,0.8,2.4,6-2,178
175,Ahron Ulis,SO,G,Iowa,35,485,69,73,19,0,32,41,110,.340,.341,.333,.792,3.1,2.0,2.1,0.5,0.0,11.5,1.1,0.8,6-3,190
184,C.J. Wilcher,FR,G,Nebraska,32,788,73,26,25,3,31,42,258,.462,.563,.406,.629,8.1,2.3,0.8,0.8,0.1,12.8,1.4,2.3,6-5,195
