

,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced
Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
175,Abdoulaye Thiam\abdoulaye-thiam-1,FR,G,Minnesota,15,49,4,2,2,0,5,8,12,.250,.400,.000,1.000,0.8,0.3,0.1,0.1,0.0,-1.3,-0.1,-12.1
176,Isaiah Thompson\isaiah-thompson-1,JR,G,Purdue,37,605,36,35,6,3,17,39,155,.436,.480,.424,.793,4.2,1.0,0.9,0.2,0.1,10.8,1.6,2.8
177,Race Thompson\race-thompson-1,SR,F,Indiana,35,997,263,50,37,24,48,77,387,.536,.597,.273,.652,11.1,7.5,1.4,1.1,0.7,20.8,4.3,7.2
178,Treyton Thompson\treyton-thompson-1,FR,C,Minnesota,19,152,22,5,3,6,8,24,37,.467,.533,.400,.600,1.9,1.2,0.3,0.2,0.3,10.7,0.3,-1.2
179,Keisei Tominaga\keisei-tominaga-1,SO,G,Nebraska,30,494,45,18,23,1,10,20,170,.373,.469,.330,.842,5.7,1.5,0.6,0.8,0.0,13.2,0.8,2.4
180,Joe Toussaint\joe-toussaint-1,JR,G,Iowa,36,625,61,114,51,1,49,55,155,.423,.477,.257,.839,4.3,1.7,3.2,1.4,0.0,14.9,1.7,3.7
181,Ahron Ulis\ahron-ulis-1,SO,G,Iowa,35,485,69,73,19,0,32,41,110,.340,.341,.333,.792,3.1,2.0,2.1,0.5,0.0,11.5,1.1,0.8
182,Alonzo Verge\alonzo-vergejr-1,SR,G,Nebraska,31,881,140,169,50,7,104,63,448,.456,.481,.315,.770,14.5,4.5,5.5,1.6,0.2,21.1,2.2,4.1
183,Chris Vogt\chris-vogt-1,SR,C,Wisconsin,33,424,103,21,11,26,18,76,97,.500,.506,.000,.514,2.9,3.1,0.6,0.3,0.8,15.6,1.5,3.1
184,Qudus Wahab\qudus-wahab-1,JR,C,Maryland,32,617,180,12,7,24,41,62,246,.559,.565,.000,.667,7.7,5.6,0.4,0.2,0.8,19.7,2.0,2.4
185,Tyler Wahl\tyler-wahl-1,JR,F,Wisconsin,32,976,189,49,37,25,52,80,366,.516,.570,.162,.700,11.4,5.9,1.5,1.2,0.8,19.0,3.6,6.4
186,Derrick Walker\derrick-walker-1,JR,F,Nebraska,32,839,193,45,24,29,53,93,303,.683,.686,.000,.726,9.5,6.0,1.4,0.8,0.9,20.0,2.9,3.3
187,Tyson Walker\tyson-walker-1,JR,G,Michigan State,36,812,47,153,34,5,66,59,296,.427,.407,.473,.810,8.2,1.3,4.3,0.9,0.1,16.2,2.3,4.1
188,Kobe Webster\kobe-webster-1,SR,G,Nebraska,30,600,44,39,15,0,28,38,185,.375,.394,.361,.667,6.2,1.5,1.3,0.5,0.0,9.3,0.4,-1.1
189,Jamari Wheeler\jamari-wheeler-1,SR,G,Ohio State,31,914,98,91,39,2,51,75,221,.458,.559,.388,.861,7.1,3.2,2.9,1.3,0.1,13.3,2.5,4.0
190,Jalanni White\jalanni-white-1,SR,F,Penn State,28,295,71,9,7,9,12,54,65,.519,.587,.125,.533,2.3,2.5,0.3,0.3,0.3,13.0,0.8,0.0
191,C.J. Wilcher\cj-wilcher-1,FR,G,Nebraska,32,788,73,26,25,3,31,42,258,.462,.563,.406,.629,8.1,2.3,0.8,0.8,0.1,12.8,1.4,2.3
192,Da'Monte Williams\demonte-williams-1,SR,G,Illinois,33,949,164,81,27,11,30,57,129,.307,.283,.325,.531,3.9,5.0,2.5,0.8,0.3,8.9,2.1,4.3
193,Elyjah Williams\elyjah-williams-1,SR,F,Northwestern,29,373,60,21,11,3,20,38,96,.472,.561,.217,.438,3.3,2.1,0.7,0.4,0.1,10.4,0.6,-0.2
194,Terrance Williams\terrance-williamsii-1,SO,F,Michigan,31,469,73,16,4,1,15,42,146,.455,.517,.385,.788,4.7,2.4,0.5,0.1,0.0,12.9,1.3,2.7
195,Trevion Williams\trevion-williams-1,SR,F,Purdue,37,744,275,112,35,23,79,78,443,.547,.555,.357,.597,12.0,7.4,3.0,0.9,0.6,31.9,4.6,11.9
196,Payton Willis\payton-willis-1,SR,G,Minnesota,29,1054,139,124,42,14,52,49,462,.473,.516,.428,.625,15.9,4.8,4.3,1.4,0.5,22.4,4.0,8.3
197,Simon Wright\simon-wright-1,SR,F,Maryland,20,62,9,2,1,0,5,16,9,.667,.500,1.000,1.000,0.5,0.5,0.1,0.1,0.0,4.5,0.1,-3.5
198,Jared Wulbrun\jared-wulbrun-1,SR,G,Purdue,10,20,1,0,0,0,2,1,2,.000,.000,.000,1.000,0.2,0.1,0.0,0.0,0.0,-5.5,0.0,-11.3
199,Kyle Young\kyle-young-3,SR,F,Ohio State,27,614,135,33,13,15,29,50,221,.500,.602,.294,.788,8.2,5.0,1.2,0.5,0.6,19.6,2.4,6.4
200,Ryan Young\ryan-young-2,JR,G,Northwestern,31,530,131,29,11,10,37,62,278,.559,.572,.167,.676,9.0,4.2,0.9,0.4,0.3,23.0,2.3,3.7

