,Rk,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
37,37,Frankie Collins\frankie-collins-1,FR,G,Michigan,31,340,53,43,12,2,35,35,88,.427,.500,.167,.441,2.8,1.7,1.4,0.4,0.1,8.7,0.2,-0.2
40,40,Jackson Cronin\jackson-cronin-1,FR,G,Nebraska,12,15,1,0,0,0,0,0,7,.600,.500,1.000,.000,0.6,0.1,0.0,0.0,0.0,15.9,0.0,0.5
42,42,Andre Curbelo\andre-curbelo-1,SO,G,Illinois,19,367,58,60,14,2,53,44,142,.329,.374,.176,.745,7.5,3.1,3.2,0.7,0.1,8.6,0.2,-1.7
45,45,Johnny Davis\jonathan-davis-3,SO,G,Wisconsin,31,1060,255,66,36,23,71,63,612,.427,.466,.306,.791,19.7,8.2,2.1,1.2,0.7,24.3,4.5,8.9
46,46,Jordan Davis\jordan-davis-24,SO,G,Wisconsin,27,175,24,4,4,3,6,19,35,.325,.417,.286,.333,1.3,0.9,0.1,0.1,0.1,6.7,0.2,0.4
51,51,Marcus Dockery\marcus-dockery-1,SO,G,Maryland,8,35,3,2,0,0,2,4,14,.417,.600,.286,.667,1.8,0.4,0.3,0.0,0.0,11.9,0.1,-3.2
52,52,Caleb Dorsey\caleb-dorsey-1,SO,G,Penn State,12,70,7,2,3,1,3,6,11,.273,.000,.333,1.000,0.9,0.6,0.2,0.3,0.1,6.4,0.1,0.1
63,63,Trey Galloway\trey-galloway-1,SO,G,Indiana,20,416,33,36,18,5,27,39,109,.464,.565,.214,.650,5.5,1.7,1.8,0.9,0.3,10.3,0.8,1.8
67,67,Luke Goode\luke-goode-1,FR,G,Illinois,28,249,49,15,1,4,9,24,56,.327,.167,.372,.667,2.0,1.8,0.5,0.0,0.1,9.8,0.6,2.9
78,78,Chucky Hepburn\chucky-hepburn-1,FR,G,Wisconsin,33,1022,70,77,36,5,39,70,262,.388,.424,.348,.696,7.9,2.1,2.3,1.1,0.2,10.6,2.2,2.4
80,80,A.J. Hoggard\aj-hoggard-1,SO,G,Michigan State,36,728,82,174,25,17,71,60,252,.439,.476,.219,.630,7.0,2.3,4.8,0.7,0.5,17.0,1.9,3.6
82,82,Caleb Houstan\caleb-houstan-1,FR,G,Michigan,34,1088,135,46,25,8,52,57,343,.384,.426,.355,.783,10.1,4.0,1.4,0.7,0.2,11.8,2.3,3.1
83,83,Jace Howard\jace-howard-1,SO,G,Michigan,14,65,7,3,2,2,4,15,16,.429,.714,.143,.750,1.1,0.5,0.2,0.1,0.1,8.1,0.1,0.5
88,88,Jaden Ivey\jaden-ivey-1,SO,G,Purdue,36,1132,176,110,33,20,94,63,624,.460,.531,.358,.744,17.3,4.9,3.1,0.9,0.6,22.5,5.1,7.2
90,90,Zeb Jackson\zeb-jackson-1,SO,G,Michigan,4,35,6,2,0,1,3,2,13,.500,.500,.500,,3.3,1.5,0.5,0.0,0.3,13.7,0.1,3.1
94,94,Dallion Johnson\dallion-johnson-1,SO,G,Penn State,29,422,34,10,4,0,12,22,106,.346,.300,.365,.875,3.7,1.2,0.3,0.1,0.0,7.3,0.5,-0.4
96,96,Meechie Johnson Jr.\meechie-johnsonjr-1,FR,G,Ohio State,26,461,40,31,17,3,35,40,115,.308,.278,.321,.737,4.4,1.5,1.2,0.7,0.1,6.5,0.2,-1.3
98,98,Jaden Jones\jaden-jones-2,SO,G,Rutgers,17,176,20,3,2,2,2,7,62,.364,.472,.233,.700,3.6,1.2,0.2,0.1,0.1,11.7,0.3,-1.6
99,99,Brett Karkus\brett-karkus-1,FR,G,Maryland,2,3,0,0,0,0,0,0,0,.000,,.000,,0.0,0.0,0.0,0.0,0.0,-15.5,0.0,-21.4
104,104,Luc Laketa\luc-laketa-1,FR,G,Iowa,12,34,2,1,2,0,3,1,9,.500,.000,.600,,0.8,0.2,0.1,0.2,0.0,10.8,0.1,2.2
105,105,Khristian Lander\khristian-lander-1,SO,G,Indiana,13,115,10,12,4,1,18,19,38,.452,.526,.333,.750,2.9,0.8,0.9,0.3,0.1,5.9,0.0,-3.9
106,106,Anthony Leal\anthony-leal-1,SO,G,Indiana,17,173,16,18,6,1,7,14,33,.407,.800,.318,.667,1.9,0.9,1.1,0.4,0.1,10.4,0.4,3.1
110,110,Isaac Lindsey\isaac-lindsey-1,SO,G,Wisconsin,6,13,0,0,0,0,0,0,3,.200,.000,.333,,0.5,0.0,0.0,0.0,0.0,-1.3,0.0,-7.9
115,115,Chase Martin\chase-martin-1,SO,G,Purdue,8,16,2,1,1,0,2,3,2,.200,.200,,.000,0.3,0.3,0.1,0.1,0.0,-12.4,-0.1,-24.8
116,116,Ian Martinez\ian-martinez-2,SO,G,Maryland,28,351,46,31,22,7,23,35,79,.329,.365,.267,.708,2.8,1.6,1.1,0.8,0.3,9.9,0.3,1.3
121,121,Aidan McCool\aidan-mccool-1,SO,G,Maryland,3,5,1,1,0,0,0,0,2,,,,1.000,0.7,0.3,0.3,0.0,0.0,34.4,0.0,11.5
122,122,Bryce McGowens\bryce-mcgowens-1,FR,G,Nebraska,31,1032,161,43,22,10,65,62,522,.403,.478,.274,.831,16.8,5.2,1.4,0.7,0.3,16.9,2.2,1.3
124,124,Chris McGraw\chris-mcgraw-1,SO,G,Nebraska,6,8,0,1,0,0,0,0,0,,,,,0.0,0.0,0.2,0.0,0.0,4.8,0.0,-2.6
125,125,RJ Melendez\rj-melendez-1,FR,G,Illinois,22,187,37,15,6,3,10,12,84,.569,.556,.600,.850,3.8,1.7,0.7,0.3,0.1,24.2,1.0,11.5
126,126,Jalen Miller\jalen-miller-1,FR,G,Rutgers,24,184,14,8,7,2,8,29,15,.353,.375,.000,.750,0.6,0.6,0.3,0.3,0.1,2.5,0.1,-2.8
127,127,Ethan Morton\ethan-morton-1,SO,G,Purdue,37,548,53,50,22,8,17,28,90,.477,.516,.441,.684,2.4,1.4,1.4,0.6,0.2,11.9,1.5,5.8
135,135,Brandon Newman\brandon-newman-2,SO,G,Purdue,25,315,47,16,10,5,14,33,116,.321,.320,.321,.792,4.6,1.9,0.6,0.4,0.2,11.8,0.8,-0.1
141,141,Irekefe Oweh\irekefe-oweh-1,SO,G,Penn State,2,3,0,0,1,0,1,1,0,.000,.000,,,0.0,0.0,0.0,0.5,0.0,-39.5,-0.1,-42.8
144,144,Tony Perkins\tony-perkins-1,SO,G,Iowa,36,657,88,59,32,3,33,62,267,.446,.485,.321,.800,7.4,2.4,1.6,0.9,0.1,17.6,2.3,3.9
149,149,Brandin Podziemski\brandin-podziemski-1,FR,G,Illinois,16,69,15,5,1,0,4,7,22,.421,.833,.231,.750,1.4,0.9,0.3,0.1,0.0,12.1,0.2,0.1
150,150,Will Ramberg\will-ramberg-1,SO,G,Minnesota,13,48,4,1,1,0,2,2,5,.400,.500,.000,.333,0.4,0.3,0.1,0.1,0.0,3.2,0.0,-3.9
155,155,Julian Roper II\julian-roperii-1,FR,G,Northwestern,29,586,99,28,25,14,13,50,116,.342,.333,.353,.714,4.0,3.4,1.0,0.9,0.5,11.4,1.4,2.2
158,158,Payton Sandfort\payton-sandfort-1,FR,G,Iowa,34,357,65,22,5,4,16,29,171,.418,.509,.366,.938,5.0,1.9,0.6,0.1,0.1,18.8,1.4,3.5
164,164,Casey Simmons\casey-simmons-1,FR,G,Northwestern,27,312,41,13,12,2,16,30,68,.413,.468,.250,.545,2.5,1.5,0.5,0.4,0.1,8.4,0.4,-1.7
166,166,Davis Smith\davis-smith-1,SO,G,Michigan State,12,20,1,1,0,0,1,2,0,.000,.000,.000,.000,0.0,0.1,0.1,0.0,0.0,-7.8,-0.1,-9.2
173,173,Justin Taphorn\justin-taphorn-1,SO,G,Wisconsin,4,5,0,0,0,0,1,0,0,,,,,0.0,0.0,0.0,0.0,0.0,-12.7,0.0,-14.1
174,174,Aiden Terry\aiden-terry-1,SO,G,Rutgers,3,5,4,1,0,0,3,1,0,,,,,0.0,1.3,0.3,0.0,0.0,-20.4,-0.1,-28.2
175,175,Abdoulaye Thiam\abdoulaye-thiam-1,FR,G,Minnesota,15,49,4,2,2,0,5,8,12,.250,.400,.000,1.000,0.8,0.3,0.1,0.1,0.0,-1.3,-0.1,-12.1
179,179,Keisei Tominaga\keisei-tominaga-1,SO,G,Nebraska,30,494,45,18,23,1,10,20,170,.373,.469,.330,.842,5.7,1.5,0.6,0.8,0.0,13.2,0.8,2.4
181,181,Ahron Ulis\ahron-ulis-1,SO,G,Iowa,35,485,69,73,19,0,32,41,110,.340,.341,.333,.792,3.1,2.0,2.1,0.5,0.0,11.5,1.1,0.8
191,191,C.J. Wilcher\cj-wilcher-1,FR,G,Nebraska,32,788,73,26,25,3,31,42,258,.462,.563,.406,.629,8.1,2.3,0.8,0.8,0.1,12.8,1.4,2.3
